%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
1663040616988277912,0,1663040616988277912,odom,base_link,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19998.0,0.0,0.0,0.0,0.0,0.0,0.0,19998.0,0.0,0.0,0.0,0.0,0.0,0.0,19998.0,0.0,0.0,0.0,0.0,0.0,0.0,19998.0,0.0,0.0,0.0,0.0,0.0,0.0,19998.0,0.0,0.0,0.0,0.0,0.0,0.0,19998.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
1663040617080476761,1,1663040617080476761,odom,base_link,-0.00108013220597,0.00238258414902,-0.0053480216302,-0.000210230575175,-0.000332856285578,-0.000133389471893,0.999999913609,0.000100236093599,0.0,0.0,0.0,0.0,0.0,0.0,0.000100236093599,0.0,0.0,0.0,0.0,0.0,0.0,0.000100236093599,0.0,0.0,0.0,0.0,0.0,0.0,1.00236093599e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.00236093599e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.00236093599e-05,-0.0117152463645,0.0258417986333,-0.0580052956939,-0.00455940980464,-0.0072210081853,-0.00289199897088,5.01180467993e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.01180467993e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.01180467993e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.01180467993e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.01180467993e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.01180467993e-06
1663040617175204515,2,1663040617175204515,odom,base_link,-0.000205465534236,-0.000161919509992,0.00351075502113,-0.000130790629554,0.000571446829409,0.000100116379964,0.99999982316,5.70760586648e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.70760586648e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.70760586648e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.70760586648e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.70760586648e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.70760586648e-06,0.00930289924145,-0.0268980693072,0.0935008078814,0.00168078381103,0.0190914683044,0.00493501732126,2.85380293324e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.85380293324e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.85380293324e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.85380293324e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.85380293324e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.85380293324e-06
1663040617284197569,3,1663040617284197569,odom,base_link,0.00218176376075,0.00114446354564,0.00116379465908,5.06315764386e-05,0.000297715961822,-0.000196153032199,0.999999935163,6.14568746154e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.14568746154e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.14568746154e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.14568746154e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.14568746154e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.14568746154e-06,0.0219295751303,0.0119871702045,-0.0215049367398,0.00333315110765,-0.00502153998241,-0.00543614896014,3.07284373077e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.07284373077e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.07284373077e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.07284373077e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.07284373077e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.07284373077e-06
1663040617379127264,4,1663040617379127264,odom,base_link,0.00275621423498,0.00161580415443,-0.00119449314661,-0.000110647999659,9.20455402984e-06,-0.000201638049509,0.999999973507,8.47496063006e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.47496063006e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.47496063006e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.47496063006e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.47496063006e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.47496063006e-06,0.00606416771188,0.00496501475573,-0.0248393639922,-0.00339661398903,-0.00607911404222,-0.000115282440674,4.23748031503e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.23748031503e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.23748031503e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.23748031503e-06,0.0,0.0,0.0,0.0,0.0,0.0,4.23748031503e-06,0.0,0.0,0.0,0.0,0.0,0.0,4.23748031503e-06
1663040617471569061,5,1663040617471569061,odom,base_link,0.00128036807291,0.00224420707673,0.000497858854942,-3.02831576202e-05,0.000293870619063,-0.000187782799879,0.99999993873,6.46589664588e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.46589664588e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.46589664588e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.46589664588e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.46589664588e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.46589664588e-06,-0.0159682147205,0.00678733224049,0.0183084253222,0.00173755304422,0.00615911092609,0.000300954299746,3.23294832294e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.23294832294e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.23294832294e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.23294832294e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.23294832294e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.23294832294e-06
1663040617569268703,6,1663040617569268703,odom,base_link,-1.33907888085e-05,0.000640430138446,-0.000836007879116,6.42802051501e-05,-0.000130414397086,0.000101062717995,0.999999984323,7.47924061673e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.47924061673e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.47924061673e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.47924061673e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.47924061673e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.47924061673e-06,-0.0132280141115,-0.0164195243269,-0.0136615028605,0.00193318224046,-0.00868587289006,0.00591241521761,3.73962030836e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.73962030836e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.73962030836e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.73962030836e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.73962030836e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.73962030836e-06
1663040617661376715,7,1663040617661376715,odom,base_link,0.000209166639252,0.000422317301854,-1.48207764141e-05,2.79251252632e-08,6.25484534358e-05,1.97729932126e-05,0.999999997848,5.46236615314e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.46236615314e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.46236615314e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.46236615314e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.46236615314e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.46236615314e-06,0.00241811247543,-0.00236735399812,0.00891515333205,-0.00139529816806,0.00418983958662,-0.00176545232534,2.73118307657e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.73118307657e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.73118307657e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.73118307657e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.73118307657e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.73118307657e-06
1663040617770068884,8,1663040617770068884,odom,base_link,-0.000266664108494,-0.000611594645306,-0.000148513005115,6.61671951006e-06,6.83413822146e-05,0.000119811703104,0.999999990465,6.45411343512e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.45411343512e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.45411343512e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.45411343512e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.45411343512e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.45411343512e-06,-0.00437800539657,-0.00951212085783,-0.00123055512086,0.000121135330119,0.000106578903797,0.00184077932499,3.22705671756e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.22705671756e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.22705671756e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.22705671756e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.22705671756e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.22705671756e-06
1663040617864693165,9,1663040617864693165,odom,base_link,-0.000309849856421,-0.000695933762472,-0.000508917088155,-0.000306069986843,5.27465960623e-05,0.000120406024905,0.999999944521,6.53596833406e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.53596833406e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.53596833406e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.53596833406e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.53596833406e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.53596833406e-06,-0.000456084875623,-0.000891246192623,-0.00380884110928,-0.00660905614495,-0.000328819238348,1.22149012896e-05,3.26798416703e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.26798416703e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.26798416703e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.26798416703e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.26798416703e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.26798416703e-06
