%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
1662961736896408796,0,1662961736896408796,icp_odom,base_link,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19998.0,0.0,0.0,0.0,0.0,0.0,0.0,19998.0,0.0,0.0,0.0,0.0,0.0,0.0,19998.0,0.0,0.0,0.0,0.0,0.0,0.0,19998.0,0.0,0.0,0.0,0.0,0.0,0.0,19998.0,0.0,0.0,0.0,0.0,0.0,0.0,19998.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
1662961737004617691,1,1662961737004617691,icp_odom,base_link,-0.000762369832955,0.000779115769546,-0.00357665214688,0.000654681197201,-0.000713890465369,-0.00014894870177,0.999999519783,8.26841890262e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.26841890262e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.26841890262e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.26841890262e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.26841890262e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.26841890262e-06,-0.00704535283148,0.0072001083754,-0.0330532193184,0.0121022984385,-0.0131928687915,-0.00276162428781,4.13420945131e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.13420945131e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.13420945131e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.13420945131e-06,0.0,0.0,0.0,0.0,0.0,0.0,4.13420945131e-06,0.0,0.0,0.0,0.0,0.0,0.0,4.13420945131e-06
1662961737096763849,2,1662961737096763849,icp_odom,base_link,-0.000938156037591,-0.00093069934519,-0.00425976887345,0.000241876472681,-0.00079173918425,-8.50224311815e-05,0.999999653708,7.83432859113e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.83432859113e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.83432859113e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.83432859113e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.83432859113e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.83432859113e-06,-0.00191272539087,-0.0185657255352,-0.00738637289032,-0.00895864516497,-0.00168952648528,0.00139569689054,3.91716429556e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.91716429556e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.91716429556e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.91716429556e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.91716429556e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.91716429556e-06
1662961737192037821,3,1662961737192037821,icp_odom,base_link,-0.000751719402615,-0.000718357157893,-0.00457344995812,0.000290130646255,-0.000850986282444,-9.2931413749e-05,0.999999591505,5.6595914737e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.6595914737e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.6595914737e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.6595914737e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.6595914737e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.6595914737e-06,0.00195125164464,0.00222749169916,-0.00329658552073,0.00101293972693,-0.00124366569798,-0.000166587153217,2.82979573685e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.82979573685e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.82979573685e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.82979573685e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.82979573685e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.82979573685e-06
1662961737284480810,4,1662961737284480810,icp_odom,base_link,-0.000916682532988,-0.00099735124968,-0.00450778892264,0.000256278167757,-0.000895043347522,-1.16704109387e-05,0.999999566541,6.8720473327e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.8720473327e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.8720473327e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.8720473327e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.8720473327e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.8720473327e-06,-0.00178271112964,-0.00301792984828,0.000715075351764,-0.000730889383703,-0.00095267011784,0.00175900943577,3.43602366635e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.43602366635e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.43602366635e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.43602366635e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.43602366635e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.43602366635e-06
1662961737392612696,5,1662961737392612696,icp_odom,base_link,-0.00109044753481,-0.00204946147278,-0.00528187770396,4.15135834771e-05,-0.000981575388699,0.000283858304422,0.999999477105,6.9268422375e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.9268422375e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.9268422375e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.9268422375e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.9268422375e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.9268422375e-06,-0.00161955377553,-0.00973358564079,-0.00715087307617,-0.00396783091128,-0.0015979593154,0.00547038391232,3.46342111875e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.46342111875e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.46342111875e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.46342111875e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.46342111875e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.46342111875e-06
1662961737485157490,6,1662961737485157490,icp_odom,base_link,-0.00180982332677,-0.00274941604584,-0.0029156038072,0.000229185899365,-0.000554261639862,0.00040655439424,0.999999737491,6.7758707692e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.7758707692e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.7758707692e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.7758707692e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.7758707692e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.7758707692e-06,-0.00772735290229,-0.00755688874051,0.0255847964436,0.00406216830015,0.00923320744187,0.00264897127636,3.3879353846e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.3879353846e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.3879353846e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.3879353846e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.3879353846e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.3879353846e-06
1662961737577352047,7,1662961737577352047,icp_odom,base_link,-0.00185359653551,-0.00312425638549,-0.00440353620797,4.36911731804e-05,-0.000820188267562,0.000426614930342,0.999999571691,6.41386282135e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.41386282135e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.41386282135e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.41386282135e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.41386282135e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.41386282135e-06,-0.000495989457704,-0.0040727565065,-0.0161366444081,-0.00402620341629,-0.00576699664816,0.000439801515313,3.20693141068e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.20693141068e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.20693141068e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.20693141068e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.20693141068e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.20693141068e-06
1662961737685855627,8,1662961737685855627,icp_odom,base_link,-0.00107428664342,-0.00239648879506,-0.00308589171618,0.000269952057788,-0.000768478632694,0.000118730352654,0.999999661235,6.30286816182e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.30286816182e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.30286816182e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.30286816182e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.30286816182e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.30286816182e-06,0.00720797432587,0.0067022354342,0.0121314004064,0.00416602659971,0.000952400150709,-0.00567834964022,3.15143408091e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.15143408091e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.15143408091e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.15143408091e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.15143408091e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.15143408091e-06
1662961737778409958,9,1662961737778409958,icp_odom,base_link,-0.00157625880092,-0.00252520013601,-0.0030766709242,0.000367406948374,-0.000622847412539,0.000189573296468,0.999999720568,5.47349747771e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.47349747771e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.47349747771e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.47349747771e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.47349747771e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.47349747771e-06,-0.00542370975018,-0.00138931255788,0.00010871210543,0.00210766727105,0.0031469501555,0.00152867857832,2.73674873885e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.73674873885e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.73674873885e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.73674873885e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.73674873885e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.73674873885e-06
